"Word","Length"
"a","1"
"aah","3"
"Aaron","5"
"aback","5"
"abacus","6"
"abandon","7"
"abandoned","9"
"abandoning","10"
"abandonment","11"
"abase","5"
"abasement","9"
"abash","5"
"abate","5"
"abated","6"
"abbess","6"
"abbey","5"
"abbot","5"
"abbreviate","10"
"abbreviated","11"
"abbreviation","12"
"abbreviations","13"
"abdicate","8"
"abdomen","7"
"abdominal","9"
"abduct","6"
"abduction","9"
"Abe","3"
"abed","4"
"Abel","4"
"Abel's","6"
"aberrant","8"
"aberration","10"
"aberrations","11"
"abet","4"
"abetted","7"
"abeyance","8"
"abhor","5"
"abhorred","8"
"abhorrent","9"
"abide","5"
"abides","6"
"abiding","7"
"Abigail","7"
"abilities","9"
"ability","7"
"abject","6"
"ablaze","6"
"able","4"
"ably","4"
"abnormal","8"
"abnormalities","13"
"abnormality","11"
"abnormally","10"
"aboard","6"
"abode","5"
"abolish","7"
"abolished","9"
"abolition","9"
"abolitionist","12"
"abolitionists","13"
"abominable","10"
"abominate","9"
"aboriginal","10"
"aborigine","9"
"aborigines","10"
"abort","5"
"abortion","8"
"abortionist","11"
"abortions","9"
"abortive","8"
"abound","6"
"abounded","8"
"abounding","9"
"abounds","7"
"about","5"
"above","5"
"aboveground","11"
"abracadabra","11"
"Abraham","7"
"abrasion","8"
"abrasive","8"
"abreast","7"
"abridged","8"
"abridgment","10"
"abroad","6"
"abrogate","8"
"abrogated","9"
"abrupt","6"
"abruptly","8"
"abruptness","10"
"abscess","7"
"abscesses","9"
"abscissa","8"
"abscond","7"
"absence","7"
"absences","8"
"absent","6"
"absented","8"
"absentee","8"
"absenteeism","11"
"absently","8"
"absentmindedly","14"
"absinth","7"
"absolute","8"
"absolutely","10"
"absoluteness","12"
"absolutes","9"
"absolution","10"
"absolutism","10"
"absolve","7"
"absorb","6"
"absorbed","8"
"absorbency","10"
"absorbent","9"
"absorber","8"
"absorbing","9"
"absorbs","7"
"absorption","10"
"absorptions","11"
"absorptive","10"
"abstain","7"
"abstaining","10"
"abstention","10"
"abstinence","10"
"abstinent","9"
"abstract","8"
"abstracted","10"
"abstractedness","14"
"abstracting","11"
"abstraction","11"
"abstractionism","14"
"abstractionists","15"
"abstractions","12"
"abstractive","11"
"abstractly","10"
"abstractors","11"
"abstracts","9"
"abstruse","8"
"absurd","6"
"absurdities","11"
"absurdity","9"
"absurdly","8"
"abundance","9"
"abundant","8"
"abuse","5"
"abused","6"
"abuses","6"
"abusive","7"
"abut","4"
"abutment","8"
"abutments","9"
"abysmal","7"
"abyss","5"
"acacia","6"
"academic","8"
"academically","12"
"academicianship","15"
"academics","9"
"academies","9"
"academy","7"
"Acadia","6"
"Acapulco","8"
"accede","6"
"acceded","7"
"accelerando","11"
"accelerate","10"
"accelerated","11"
"accelerating","12"
"acceleration","12"
"accelerations","13"
"accelerator","11"
"accelerators","12"
"accelerometer","13"
"accelerometers","14"
"accent","6"
"accented","8"
"accenting","9"
"accents","7"
"accentual","9"
"accentuate","10"
"accentuated","11"
"accentuates","11"
"accept","6"
"acceptable","10"
"acceptance","10"
"accepted","8"
"accepting","9"
"accepts","7"
"access","6"
"accesses","8"
"accessible","10"
"accessions","10"
"accessories","11"
"accessors","9"
"accessory","9"
"accident","8"
"accidental","10"
"accidentally","12"
"accidents","9"
"acclaim","7"
"acclaimed","9"
"acclaims","8"
"acclamation","11"
"acclimate","9"
"acclimatized","12"
"accolade","8"
"accolades","9"
"accommodate","11"
"accommodated","12"
"accommodates","12"
"accommodating","13"
"accommodation","13"
"accommodations","14"
"accompanied","11"
"accompanies","11"
"accompaniment","13"
"accompaniments","14"
"accompanist","11"
"accompanists","12"
"accompany","9"
"accompanying","12"
"accomplice","10"
"accomplices","11"
"accomplish","10"
"accomplished","12"
"accomplishes","12"
"accomplishing","13"
"accomplishment","14"
"accomplishments","15"
"accord","6"
"accordance","10"
"accorded","8"
"according","9"
"accordingly","11"
"accordion","9"
"accords","7"
"accost","6"
"accosted","8"
"accosting","9"
"account","7"
"accountability","14"
"accountable","11"
"accountant","10"
"accountants","11"
"accounted","9"
"accounting","10"
"accounts","8"
"accredit","8"
"accreditation","13"
"accredited","10"
"accrue","6"
"accrued","7"
"accrues","7"
"accruing","8"
"acculturated","12"
"acculturation","13"
"accumulate","10"
"accumulated","11"
"accumulates","11"
"accumulating","12"
"accumulation","12"
"accuracy","8"
"accurate","8"
"accurately","10"
"accurst","7"
"accusation","10"
"accusations","11"
"accusative","10"
"accuse","6"
"accused","7"
"accuses","7"
"accusing","8"
"accusingly","10"
"accustom","8"
"accustomed","10"
"ace","3"
"acerbic","7"
"aces","4"
"acetate","7"
"acetone","7"
"acetylene","9"
"ache","4"
"ached","5"
"aches","5"
"achieve","7"
"achieved","8"
"achievement","11"
"achievements","12"
"achieves","8"
"achieving","9"
"Achilles","8"
"aching","6"
"acid","4"
"acidic","6"
"acidity","7"
"acids","5"
"acknowledge","11"
"acknowledged","12"
"acknowledgement","15"
"acknowledges","12"
"acknowledging","13"
"acknowledgment","14"
"acknowledgments","15"
"acme","4"
"acne","4"
"acolyte","7"
"acorn","5"
"acorns","6"
"acoustic","8"
"acoustical","10"
"acoustically","12"
"acoustics","9"
"acquaint","8"
"acquaintance","12"
"acquainted","10"
"acquiesce","9"
"acquiesced","10"
"acquiescence","12"
"acquiescent","11"
"acquire","7"
"acquired","8"
"acquires","8"
"acquiring","9"
"acquisition","11"
"acquisitions","12"
"acquisitive","11"
"acquisitiveness","15"
"acquit","6"
"acquittal","9"
"acquitted","9"
"acre","4"
"acreage","7"
"acres","5"
"acrid","5"
"acrimonious","11"
"acrimony","8"
"acrobat","7"
"acrobatic","9"
"acrobatics","10"
"acrobats","8"
"acronym","7"
"Acropolis","9"
"across","6"
"acrylic","7"
"act","3"
"acted","5"
"acting","6"
"action","6"
"actions","7"
"activate","8"
"activated","9"
"activating","10"
"activation","10"
"active","6"
"actively","8"
"activism","8"
"activist","8"
"activities","10"
"activity","8"
"actor","5"
"actors","6"
"actor's","7"
"actress","7"
"actresses","9"
"acts","4"
"actual","6"
"actualities","11"
"actuality","9"
"actually","8"
"actuary","7"
"acuity","6"
"acupuncture","11"
"acute","5"
"acutely","7"
"acuteness","9"
"ad","2"
"Ada","3"
"adage","5"
"Adam","4"
"adamant","7"
"adamantly","9"
"Adam's","6"
"adapt","5"
"adaptability","12"
"adaptable","9"
"adaptation","10"
"adaptations","11"
"adapted","7"
"adapter","7"
"adapters","8"
"adapting","8"
"Ada's","5"
"add","3"
"added","5"
"addendum","8"
"adder","5"
"addict","6"
"addicted","8"
"addiction","9"
"addicts","7"
"adding","6"
"addition","8"
"additional","10"
"additionally","12"
"additions","9"
